subject;baseline_acc;compressed_acc;count
abstract_algebra;0.500000;0.500000;20
anatomy;0.629630;0.592593;27
astronomy;0.966667;0.966667;30
business_ethics;0.800000;0.800000;20
clinical_knowledge;0.830189;0.867925;53
college_biology;0.862069;0.896552;29
college_chemistry;0.700000;0.650000;20
college_computer_science;0.750000;0.700000;20
college_mathematics;0.600000;0.450000;20
college_medicine;0.800000;0.742857;35
college_physics;0.500000;0.550000;20
computer_security;0.750000;0.750000;20
conceptual_physics;0.829787;0.808511;47
econometrics;0.652174;0.652174;23
electrical_engineering;0.793103;0.827586;29
elementary_mathematics;0.605263;0.552632;76
formal_logic;0.520000;0.480000;25
global_facts;0.350000;0.450000;20
high_school_biology;0.935484;0.903226;62
high_school_chemistry;0.707317;0.658537;41
high_school_computer_science;0.800000;0.800000;20
high_school_european_history;0.878788;0.878788;33
high_school_geography;0.875000;0.900000;40
high_school_government_and_politics;0.923077;0.923077;39
high_school_macroeconomics;0.769231;0.769231;78
high_school_mathematics;0.462963;0.407407;54
high_school_microeconomics;0.833333;0.812500;48
high_school_physics;0.533333;0.566667;30
high_school_psychology;0.862385;0.862385;109
high_school_statistics;0.674419;0.697674;43
high_school_us_history;0.853659;0.731707;41
high_school_world_history;0.723404;0.702128;47
human_aging;0.711111;0.644444;45
human_sexuality;0.576923;0.615385;26
international_law;0.875000;0.791667;24
jurisprudence;0.727273;0.681818;22
logical_fallacies;0.909091;0.848485;33
machine_learning;0.590909;0.545455;22
management;0.904762;0.952381;21
marketing;0.872340;0.893617;47
medical_genetics;0.850000;0.850000;20
miscellaneous;0.821656;0.770701;157
moral_disputes;0.739130;0.739130;69
moral_scenarios;0.357542;0.357542;179
nutrition;0.803279;0.803279;61
philosophy;0.741935;0.725806;62
prehistory;0.830769;0.815385;65
professional_accounting;0.571429;0.625000;56
professional_law;0.566775;0.501629;307
professional_medicine;0.814815;0.759259;54
professional_psychology;0.721311;0.729508;122
public_relations;0.590909;0.500000;22
security_studies;0.755102;0.775510;49
sociology;0.800000;0.750000;40
us_foreign_policy;0.800000;0.850000;20
virology;0.606061;0.666667;33
world_religions;0.852941;0.823529;34
